DATE,GENDER,GRADE,REGION
29,Female,11.0,Andijan
29,Male,9.0,Namangan
29,Male,11.0,Surkhandarya
29,Female,10.0,Kashkadarya
29,Male,11.0,Kashkadarya
29,Female,9.0,Fergana
29,Male,9.0,Fergana
29,Female,10.0,Tashkent city
29,Male,11.0,Bukhara
29,Male,10.0,Sirdarya
29,Male,10.0,Tashkent city
29,Female,9.0,Andijan
29,Male,10.0,Andijan
29,Male,10.0,Tashkent city
29,Male,9.0,Navoi
29,Female,10.0,Tashkent city
29,Male,11.0,Andijan
29,Female,11.0,Bukhara
29,Female,9.0,Andijan
29,Male,Senior,Karakalpakistan
29,Female,Freshman,Kashkadarya
29,Female,Sophomore,Fergana
29,Female,Freshman,Navoi
29,Female,10.0,Andijan
29,Female,Sophomore,Sirdarya
29,Male,10.0,Khorazm
29,Female,Freshman,Tashkent city
29,Female,10.0,Tashkent city
31,Female,10.0,Khorazm
29,Female,11.0,Andijan
29,Female,10.0,Navoi
29,Male,10.0,Karakalpakistan
29,Female,11.0,Tashkent city
29,Female,Freshman,Navoi
29,Male,9.0,Sirdarya
29,Male,10.0,Andijan
29,Female,Freshman,Tashkent city
29,Female,10.0,Tashkent city
29,Female,10.0,Bukhara
29,Female,9.0,Sirdarya
29,Female,10.0,Tashkent region
29,Female,9.0,Tashkent region
29,Male,11.0,Andijan
29,Female,11.0,Samarkand
29,Male,Freshman,Surkhandarya
29,Female,Freshman,Kashkadarya
29,Female,Freshman,Jizzakh
29,Male,10.0,Samarkand
30,Female,11.0,Navoi
29,Female,11.0,Jizzakh
29,Female,9.0,Bukhara
29,Male,9.0,Fergana
29,Female,9.0,Kashkadarya
30,Male,10.0,Tashkent city
30,Female,Freshman,Navoi
30,Female,9.0,Fergana
30,Male,10.0,Jizzakh
30,Female,9.0,Andijan
30,Female,10.0,Kashkadarya
30,Female,10.0,Fergana
30,Male,11.0,Fergana
30,Female,11.0,Samarkand
30,Female,11.0,Khorazm
30,Male,10.0,Surkhandarya
